page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
216657	Kerberos_(protocol)	73	55	5	6	0	0	0	0	52	41	1	4	0	0	0	0	0
10068	Kunstmatige_intelligentie	411	212	54	70	4	4	29	96	309	148	15	39	4	4	29	96	0
63416	Kwantumcomputer	171	121	24	31	4	3	12	30	121	84	7	19	0	0	0	0	0
274113	L2TP	51	35	0	0	0	0	0	0	34	28	0	0	0	0	0	0	0
80727	Lightweight_Directory_Access_Protocol	103	63	3	6	0	0	0	0	92	54	1	4	0	0	0	0	0
982	Linux	699	338	107	138	2	2	17	0	500	202	21	66	2	2	17	0	0
19656	Lisp_(programmeertaal)	143	80	4	6	2	2	2	0	133	72	4	5	2	2	2	0	0
180627	MAC-adres	93	61	9	13	0	0	0	0	65	39	1	5	0	0	0	0	0
207325	MIMO	66	47	6	11	0	0	0	0	55	38	1	7	0	0	0	0	0
301234	Machinaal_leren	67	44	0	0	0	0	0	0	57	36	0	0	0	0	0	0	0
37644	Malware	186	107	14	25	0	0	0	0	151	83	3	15	0	0	0	0	0
3288914	MariaDB	48	20	0	0	0	0	0	0	42	17	0	0	0	0	0	0	0
1256197	Matroska	70	35	0	0	0	0	0	0	66	31	0	0	0	0	0	0	0
99877	Minix	90	56	0	0	0	0	0	0	83	49	0	0	0	0	0	0	0
793745	Mozilla_Public_License	59	38	0	0	0	0	0	0	56	36	0	0	0	0	0	0	0
77997	Multicast	52	32	0	0	0	0	0	0	46	27	0	0	0	0	0	0	0
421831	Multiprotocol_Label_Switching	45	29	0	0	0	0	0	0	42	26	0	0	0	0	0	0	0
43530	MySQL	391	173	29	45	2	2	3	0	306	115	3	24	0	0	0	0	0
11821	Nanotechnologie	541	267	61	77	2	2	7	0	388	178	12	41	2	2	7	0	0
230394	Netwerklaag	64	46	2	4	0	0	0	0	54	38	0	2	0	0	0	0	0
128694	Network_File_System	69	43	1	2	0	0	0	0	62	37	0	1	0	0	0	0	0
87696	Network_Time_Protocol	95	72	12	20	0	0	0	0	76	56	3	13	0	0	0	0	0
81399	Network_address_translation	207	125	24	37	0	0	0	0	150	85	5	21	0	0	0	0	0
6901	OSI-model	350	185	40	58	0	0	0	0	235	114	5	27	0	0	0	0	0
177269	Ontologie_(informatica)	54	37	0	0	0	0	0	0	45	33	0	0	0	0	0	0	0
75757	OpenBSD	183	82	5	7	0	0	0	0	153	63	2	4	0	0	0	0	0
1198939	OpenHardware	56	32	2	4	0	0	0	0	53	30	1	3	0	0	0	0	0
55424	Open_Shortest_Path_First	73	53	2	4	0	0	0	0	65	45	2	4	0	0	0	0	0
4609462	Over-the-top_content	8	7	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0
150376	PCI_Express	140	97	11	17	2	2	2	0	88	62	2	9	2	2	2	0	0
935597	PHP	1167	574	131	169	4	4	6	16	741	273	29	79	0	0	0	0	0
2697808	Pakketbeheer	38	17	1	2	0	0	0	0	36	15	0	1	0	0	0	0	0
29063	Peer-to-peer	287	172	37	63	0	0	0	0	210	111	3	30	0	0	0	0	0
235317	Peering	37	32	2	4	0	0	0	0	30	27	0	2	0	0	0	0	0
3580	Python_(programmeertaal)	428	206	22	34	2	2	2	0	336	136	8	19	2	2	2	0	0
255543	RADIUS	53	37	1	2	0	0	0	0	46	32	0	1	0	0	0	0	0
170399	RTK	48	34	1	2	0	0	0	0	45	31	1	2	0	0	0	0	0
68327	Realtime_Transport_Protocol	77	57	2	4	0	0	0	0	65	47	0	2	0	0	0	0	0
2273190	Resource_Reservation_Protocol	23	11	0	0	0	0	0	0	20	8	0	0	0	0	0	0	0
138481	Rich_internet_application	119	76	6	11	0	0	0	0	82	50	1	6	0	0	0	0	0
1485	Robotica	228	117	39	47	0	0	0	0	140	76	2	25	0	0	0	0	0
2893088	Semantisch_web	63	22	1	2	0	0	0	0	60	19	1	2	0	0	0	0	0
414219	Service-oriëntatie	125	83	11	17	2	2	2	0	94	58	7	13	2	2	2	0	0
197627	Session_Initiation_Protocol	78	50	3	5	0	0	0	0	71	43	1	3	0	0	0	0	0
4915202	Smart_Industry	17	9	1	2	0	0	0	0	8	5	0	1	0	0	0	0	0
2554028	Smart_grid	54	43	7	11	0	0	0	0	36	25	0	4	0	0	0	0	0
39250	Smartphone	421	229	63	93	0	0	0	0	289	141	11	53	0	0	0	0	0
3603170	Software-defined_radio	12	7	0	0	0	0	0	0	11	6	0	0	0	0	0	0	0
88347	Spraakherkenning	158	96	13	20	0	0	0	0	129	73	3	13	0	0	0	0	0
351213	Stream_Control_Transmission_Protocol	43	24	0	0	0	0	0	0	42	23	0	0	0	0	0	0	0
50574	Supercomputer	261	144	33	49	2	2	7	0	195	100	5	28	0	0	0	0	0
50839	TCP/IP	306	192	53	83	0	0	0	0	194	106	6	39	0	0	0	0	0
2115902	Taal-_en_spraaktechnologie	18	9	1	2	0	0	0	0	17	8	0	1	0	0	0	0	0
21325	Telecommunicatie	208	113	19	32	0	0	0	0	173	85	1	15	0	0	0	0	0
1482957	Toegevoegde_realiteit	94	62	6	12	0	0	0	0	74	49	2	8	0	0	0	0	0
3846367	Traffic_shaping	15	11	0	0	0	0	0	0	12	8	0	0	0	0	0	0	0
10175	Transmission_Control_Protocol	199	112	9	17	0	0	0	0	158	87	2	10	0	0	0	0	0
80729	Transport_Layer_Security	159	107	16	28	0	0	0	0	99	66	3	18	0	0	0	0	0
275892	Transportlaag	78	56	1	2	0	0	0	0	64	47	0	1	0	0	0	0	0
313098	Tunnelingprotocol	48	35	2	4	0	0	0	0	43	31	0	2	0	0	0	0	0
873062	Twitter	806	425	161	212	12	10	32	270	563	238	33	100	2	2	2	0	0
3010138	Uniform_resource_name	13	12	0	0	0	0	0	0	12	11	0	0	0	0	0	0	0
317061	Virtual_LAN	153	74	5	10	0	0	0	0	126	51	0	5	0	0	0	0	0
664512	Virtualisatie	99	75	5	10	0	0	0	0	70	53	0	5	0	0	0	0	0
33547	Virtueel_Particulier_Netwerk	227	143	23	39	0	0	0	0	165	92	4	18	0	0	0	0	0
1835	Virtuele_machine	125	77	10	17	2	2	2	0	105	60	5	12	2	2	2	0	0
66587	Virtuele_werkelijkheid	209	119	20	34	0	0	0	0	161	88	1	20	0	0	0	0	0
2533878	Visible_light_communication	21	11	0	0	0	0	0	0	19	10	0	0	0	0	0	0	0
88861	WiMAX	213	133	17	23	2	2	7	0	154	93	6	15	2	2	7	0	0
12626	World_Wide_Web_Consortium	93	50	2	4	0	0	0	0	85	44	0	2	0	0	0	0	0
2100197	Zelfsturende_auto	95	43	10	17	2	2	2	0	83	33	2	10	0	0	0	0	0
