page_id	title	tot_edits	tot_users	n_reverts	revert_users	mutual_reverts	mutual_reverting_users	M	M_final	tot_edits_reg	tot_users_reg	n_reverts_reg	revert_users_reg	mutual_reverts_reg	mutual_reverting_users_reg	M_reg	M_final_reg	sample_users
15656695	Carrier_Ethernet	151	91	11	18	0	0	0	0	107	58	1	9	0	0	0	0	0
148349	Chatbot	1094	598	141	181	12	9	16	126	679	327	43	84	2	2	6	0	0
38404	Classless_Inter-Domain_Routing	1069	497	160	195	14	11	679	7436	671	234	42	80	8	5	672	3335	0
19541494	Cloud_computing	10443	4606	1979	2208	80	59	346	15104	6267	1797	472	800	40	30	247	4710	0
46467242	Cloudlet	61	27	10	10	0	0	0	0	55	22	10	10	0	0	0	0	0
2934910	Cognitive_robotics	162	96	9	16	0	0	0	0	109	61	2	10	0	0	0	0	0
35211810	Community_cloud	21	15	2	4	0	0	0	0	16	11	0	2	0	0	0	0	0
18715559	Computational_trust	127	55	2	4	0	0	0	0	109	42	2	4	0	0	0	0	0
4122592	Computer_network	7731	3717	2422	2675	52	41	177	7134	3699	1086	219	783	4	4	13	32	0
7398	Computer_security	3464	1747	631	805	12	12	28	312	2200	875	126	352	4	4	5	12	0
6596	Computer_vision	1378	599	151	188	6	5	157	770	963	320	48	94	4	4	154	580	0
31250501	Connected_car	167	108	10	18	0	0	0	0	117	71	6	13	0	0	0	0	0
40950	Connectionless_communication	97	73	6	11	0	0	0	0	68	51	1	6	0	0	0	0	0
32830538	Constrained_Application_Protocol	165	118	4	7	0	0	0	0	93	57	2	5	0	0	0	0	0
880860	Content_delivery_network	2045	1050	299	271	36	21	641	13377	1085	451	128	133	20	13	180	2314	0
338689	Context_awareness	208	128	8	14	0	0	0	0	126	73	5	10	0	0	0	0	0
44571310	Contextual_searching	20	14	1	2	0	0	0	0	13	11	0	0	0	0	0	0	0
11981336	Control_plane	52	34	5	9	0	0	0	0	39	22	0	3	0	0	0	0	0
154805	Conversational_Monitor_System	54	40	1	2	0	0	0	0	48	35	1	2	0	0	0	0	0
9358077	Core_router	133	68	3	6	0	0	0	0	100	43	1	4	0	0	0	0	0
36662188	Cryptocurrency	2296	871	378	382	44	35	289	10045	1803	511	216	237	26	22	260	3784	0
591994	Cryptographic_protocol	136	94	23	35	6	5	6	20	100	61	14	26	6	5	6	20	0
18934432	Cryptography	3346	1636	628	754	28	22	216	4708	2253	862	158	346	10	9	166	1476	0
17787148	Cyber-physical_system	274	122	9	14	0	0	0	0	164	76	2	7	0	0	0	0	0
37925700	Cyberattack	297	182	48	67	0	0	0	0	187	98	9	29	0	0	0	0	0
295981	DOCSIS	914	545	28	51	0	0	0	0	472	239	2	22	0	0	0	0	0
40712897	Dark_web	1284	646	365	463	6	6	14	48	919	300	115	229	4	4	11	20	0
39062059	Data_Plane_Development_Kit	151	75	6	8	2	2	2	0	91	34	3	4	2	2	2	0	0
10186403	Data_aggregation	64	38	8	11	0	0	0	0	42	29	2	8	0	0	0	0	0
2720954	Data_analysis	1034	552	184	277	0	0	0	0	593	254	29	125	0	0	0	0	0
579730	Data_center	1412	831	205	269	6	6	22	36	878	456	55	125	4	4	20	16	0
8013	Data_compression	1443	840	201	283	2	2	4	0	926	444	36	132	0	0	0	0	0
10231058	Data_exchange	108	55	6	12	0	0	0	0	87	42	2	8	0	0	0	0	0
