name,name,lang,name_lang,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807
Level_playing_field,Level_playing_field,en,Level_playing_field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,1,2,0,0,1,1,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Information_ethics,Information_ethics,en,Information_ethics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,4,1,0,1,0,3,0,1,1,1,9,3,0,0,0,2,0,2,0,4,0,0,0,0,2,0,0,1,0,2,1,0,2,1,1,4,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,2,2,0,0,0,1,0,0,2,8,1,0,1,0,0,0,4,0,2,0,4,0,1,0,1,3,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,3,6,0,0,1,0,0,0,0,0,1,2,0,1,0,8,1
Secure_by_design,Secure_by_design,en,Secure_by_design,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,9,3,0,0,2,1,0,0,0,1,2,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,1,0,1,1,8,2,0,0,1,0,1,0,4,1,0,1,2,0,1,2,1,2,0,1,1,0,0,2,0,2,2,0,1,0,0,0,1,1,1,3,1,0,3,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,4,0,0,3,0,0,1
Digital_economy,Digital_economy,en,Digital_economy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,2,2,3,0,0,0,2,0,0,1,4,4,1,3,0,0,0,0,0,0,1,1,1,2,1,5,0,0,0,0,4,0,1,2,1,0,1,0,0,0,0,2,0,0,1,0,2,2,0,1,1,1,2,0,2,0,1,0,1,2,0,1,4,1,2,3,1,2,2,0,8,2,0,2,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,3,2,0,3,0,0,0,1,0,2,0,0,0,2,0,2,1,0,0,2,1,2,1,1,4,0,0,1,5,1,0,0,2,2,0,0,0,1,0,4,3
Circular_economy,Circular_economy,en,Circular_economy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,1,0,1,1,4,1,2,18,3,1,2,4,0,1,0,4,1,2,12,2,0,3,6,4,0,1,4,4,2,0,1,0,9,1,1,11,3,0,3,2,5,12,2,6,5,4,4,8,2,5,5,9,11,6,5,14,5,4,4,2,4,5,2,5,1,5,18,16,6,16
Sharing_economy,Sharing_economy,en,Sharing_economy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,49,14,15,4,4,7,3,6,18,29,27,11,13,18,6,3,11,10,10,4,34,10,69,30,3,20,22,7,4,12,10,8,27,9,4,18,49,28,12,8,7,11,13,11,6,20,8,18,16,10,6,9,19,7,8,2,3,18,8,6,3
Freedom_of_information_laws_by_country,Freedom_of_information_laws_by_country,en,Freedom_of_information_laws_by_country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,5,7,1,1,2,1,1,0,0,5,1,3,1,5,8,2,2,7,9,3,5,3,13,5,10,8,6,9,3,36,11,4,4,7,6,9,11,3,10,18,7,13,8,18,6,24,2,7,8,5,10,6,10,8,6,5,2,17,14,6,16,3,5,18,8,16,8,2,11,7,5,10,3,6,9,7,9,2,7,8,12,7,5,3,6,6,5,10,1,6,14,6,4,9,14,6,14,9,0,12,4,10,12,8,9,8,0,3,9,4,7,4,12,5,6,3,1,13,12,3,3,7,2,4,4,2,4,4,3,5,4,2,3,2,1,1,0,2,4,2,4,6,3,1,3,3,3,3,11,8,17,8,10,4,3,6,7,3,3,8,7,5,7,2,9,22,10,7,2,3,2,1,1,0,6,1,2,2,2,3,2,5
Data_ownership,Data_ownership,en,Data_ownership,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,23,0,3,0,2,0,1,0
Digital_citizen,Digital_citizen,en,Digital_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,1,4,0,1,13,0,3,0,5,0,2,1,2,4,0,0,4,3,2,0,3,0,1,0,1,6,3,1,9,0,9,0,3,0,1,4,14,2,3,3,4,4,3,5,5,0,4,4,2,2,0,1,3,2,0,1,3,1,2,10,0,0,0,0,2,0,4,2,5,1,7,6,14,4,1,0,0,1,8,2,1,3,5,15,2,7,0,2,1,2,2,16,1,0,1,2,5,2,11,3,5,8,2,6,10,0
Polarization_(politics),Polarization_(politics),en,Polarization_(politics),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,2,0,1,2,0,1,1,0,0,0,0,0,0,1,0,5,3,1,2,0,2,1,4,4,0,1,4,0,0,0,0,0,0,1,0,0,0,2,2,7,0,3,1,0,4,0,1,1,0,1,0,0,2,0,0,0,2,0,2,3,4,0,4,1,2,0,0,1,2,0,0,0,5,0,2,3,2,0,4,8,0,1,0,2,1,5,3,0,7,0,0,1,0,2,2,0,4,1,3,1,6,0,0,0,0,6,0,0,0,0,0,0,3,3,6,4,0,0,1,0,4,3,7,1,2,1,7,6,1,5,0,0,0,1,1,2,1,2,2,0,0,2,4,1,3,1,0,1,2,2,2,1,1,2,2,2,6,2,2,7,11,7,5
